val_loss,val_f1,val_acc,train_loss,train_f1,train_acc,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.373449416669246,0.885533907121914,0.885922330097087,0.124415287165903,0.863492063492063,0.857142857142857,1731489390,checkpoint_000000,True,False,1,44d73_00000,2024-11-13_17-16-30,296.886414527893,296.886414527893,616070,pop-os,192.168.1.7,296.886414527893,1
0.460747718425031,0.883246842953543,0.883495145631068,0.0821584452263778,0.930659983291562,0.928571428571429,1731489689,checkpoint_000001,True,False,2,44d73_00000,2024-11-13_17-21-29,299.609066009521,596.495480537415,616070,pop-os,192.168.1.7,596.495480537415,2
0.428095531779939,0.888201322565612,0.888349514563107,0.0886408982798457,0.930659983291562,0.928571428571429,1731489995,checkpoint_000002,True,False,3,44d73_00000,2024-11-13_17-26-35,306.105075836182,902.600556373596,616070,pop-os,192.168.1.7,902.600556373596,3
0.409901970783896,0.88204372150819,0.882281553398058,0.0862819644200499,0.930659983291562,0.928571428571429,1731490299,checkpoint_000003,True,False,4,44d73_00000,2024-11-13_17-31-39,303.375371217728,1205.97592759132,616070,pop-os,192.168.1.7,1205.97592759132,4
0.521381746703625,0.880628433233404,0.881067961165049,0.359701250339276,0.863492063492063,0.857142857142857,1731490600,checkpoint_000004,True,False,5,44d73_00000,2024-11-13_17-36-40,301.386871814728,1507.36279940605,616070,pop-os,192.168.1.7,1507.36279940605,5
0.538031879286492,0.875826611116036,0.87621359223301,0.0978758293262217,0.930659983291562,0.928571428571429,1731490901,checkpoint_000005,True,False,6,44d73_00000,2024-11-13_17-41-41,301.219361066818,1808.58216047287,616070,pop-os,192.168.1.7,1808.58216047287,6
0.492642226353826,0.885625180888702,0.885922330097087,0.146422477578744,0.930659983291562,0.928571428571429,1731491200,checkpoint_000006,True,False,7,44d73_00000,2024-11-13_17-46-40,299.152901172638,2107.73506164551,616070,pop-os,192.168.1.7,2107.73506164551,7
0.644518257790945,0.879526292704323,0.879854368932039,0.0791216079177502,0.930659983291562,0.928571428571429,1731491499,checkpoint_000007,True,False,8,44d73_00000,2024-11-13_17-51-39,298.244264125824,2405.97932577133,616070,pop-os,192.168.1.7,2405.97932577133,8
0.645358264124885,0.8894261467112,0.889563106796116,0.0438277850605118,0.930659983291562,0.928571428571429,1731491797,checkpoint_000008,True,False,9,44d73_00000,2024-11-13_17-56-37,298.141023397446,2704.12034916878,616070,pop-os,192.168.1.7,2704.12034916878,9
0.872302656130491,0.889289009958733,0.889563106796116,0.0380793738743364,0.930659983291562,0.928571428571429,1731492094,checkpoint_000009,True,True,10,44d73_00000,2024-11-13_18-01-34,296.969821929932,3001.09017109871,616070,pop-os,192.168.1.7,3001.09017109871,10
